ticker,sector,currency,financials_in,fiscal_quarter,quarter_ended,revenue,gross_profit,op_income,net_income,sga_expense,rd_expense,dep_amort,other_opex,interest_expense,interest_income,fx_gain,other_non_op_income,unusual_expenses,tax_expense,disc_ops,extraordinary_items,minority_interest,total_assets,total_liabilities,total_equity,cash_short_term_inv,receivables,current_assets,net_ppe,current_liabilities,total_debt,cash_from_ops,cash_from_inv,cash_from_fin,capex,debt_issued,debt_repaid,tev_ltm_revenue
aapl,"Technology Hardware, Storage and Peripherals",usd,millions,FQ3/CQ2,1994-07-01,"2,150.00",574.00,106.00,138.00,333.00,135.00,0.00,0.00,-9.00,0.00,0.00,-1.00,127.00,85.00,0.00,0.00,0.00,"5,123.40","2,878.30","2,245.10","1,228.30","1,277.10","4,260.00",665.00,"1,917.50",820.40,142.00,-101.00,14.00,-24.00,0.00,24.00,0.37
aapl,"Technology Hardware, Storage and Peripherals",usd,millions,FQ4/CQ3,1994-09-30,"2,494.00",678.00,190.00,115.00,346.00,142.00,0.00,0.00,-13.00,43.00,-25.00,-10.00,0.00,70.00,0.00,0.00,0.00,"5,303.00","2,920.00","2,383.00","1,258.00","1,581.00","4,476.00",667.00,"1,944.00",597.00,242.00,27.00,-208.00,-37.00,-1.00,-223.00,0.40
